part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel,geo_n_inner_loops,geo_hole_spacing_min_rel,geo_hole_spacing_p10_rel,geo_feat_pair_dist_min_rel,geo_feat_pair_dist_p10_rel,geo_feat_pair_dist_mean_rel,geo_dihedral_p10,geo_dihedral_p50,geo_dihedral_p90,geo_singular_lambda_min
l_bracket_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9325988220490522,4.183161678051977,2.8177087513285612,0.2037493498725838,10.485813361552399,0.07035201395349312,0.0,1.0,1.0,0.8104448285101833,0.8104448285101833,0.8104448285101833,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
l_bracket_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9390239110069065,4.417620009993509,2.8647035548037887,0.20152408698284688,10.535007541084662,0.06883340934490757,0.0,1.0,1.0,0.8201553336613656,0.8201553336613656,0.8201553336613656,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
l_bracket_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.82495799165834,5.4038472665464194,3.2291487240678327,0.2500225996612631,9.734641644074488,0.08456559048353675,0.0,1.0,1.0,0.47825637967038576,0.47825637967038576,0.7424512761786312,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
l_bracket_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,56.0,0.9079355819507231,4.668451938506881,3.3849331698084075,0.1887879448678067,10.651314730894379,0.06651069262765319,0.0,1.0,1.0,0.557211544593339,0.557211544593339,0.7575251230109005,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
lobed_shaft_s0,0.8932582196813518,0.0,0.1067417803186483,0.8932582196813518,1.0,0.0,0.0,3.0,6.0,1.1877800522753723,4.310913815268098,1.086200653216566,0.7773141543401421,6.685910343393628,0.20165282102462095,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
lobed_shaft_s1,0.8883549134515057,0.0,0.11164508654849421,0.8883549134515057,1.0,0.0,0.0,3.0,6.0,1.1773785690192973,4.381490281319484,1.2868273877456304,0.763271386654251,6.6493569686639935,0.2119868966207756,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
lobed_shaft_s2,0.9094841255949756,0.0,0.09051587440502448,0.9094841255949756,1.0,0.0,0.0,3.0,6.0,1.2222003965826274,5.521745834917071,1.2776156821526417,0.7712325822306744,7.035975450141608,0.17245352230309297,0.0,1.0,1.0,0.9594401296971505,0.9594401296971505,0.9594401296971505,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
lobed_shaft_s3,0.8962261782690594,0.0,0.10377382173094059,0.8962261782690594,1.0,0.0,0.0,3.0,6.0,1.1940760432063189,4.368245188864341,1.0514108510459002,0.7755437820721938,6.738147806388574,0.19618210316493748,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
multi_hole_plate_s0,0.03487803355419988,0.03487803355419988,0.9651219664458004,0.0,0.030026562471753223,-1.4853881782833664,0.04695667976590137,9.0,42.0,1.4285896567214933,17.087341992365907,8.142345025370393,0.9738975915156639,12.62604530930148,0.09976394453666358,3.0,0.0836163546608775,0.0836163546608775,0.07614268542467648,0.07614268542467648,0.4248143929442966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
multi_hole_plate_s1,0.05070442394162855,0.05070442394162855,0.9492955760583712,0.0,0.03462412205391639,-1.3990738768836184,0.05426429598081231,10.0,48.0,1.5365772840462466,18.83048055614008,9.39054992806719,0.9497776110540943,13.577461258708567,0.10162092873709362,4.0,0.09479719721620829,0.09479719721620829,0.0028566528275608414,0.0028566528275608414,0.23331776610294994,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
multi_hole_plate_s2,0.03920628797962605,0.03920628797962605,0.960793712020374,0.0,0.01995181659375453,-1.541073341480889,0.11938205293898024,10.0,48.0,1.5340830054896362,17.19531959989582,8.190369313399353,0.9732229612688691,12.720617235301546,0.08107252110304293,4.0,0.06590995224138574,0.06590995224138574,0.05049512836775589,0.19335968537309703,0.4171863672932409,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
multi_hole_plate_s3,0.031373488507004006,0.031373488507004006,0.9686265114929962,0.0,0.025547280883418122,-1.5219962223293872,0.08245911264809468,9.0,42.0,1.4484661937133119,19.62805822380243,8.090504384415715,0.9757446302550188,13.074116826203134,0.08690473512174203,3.0,0.07484728990640445,0.07484728990640445,0.06287710435005874,0.06287710435005874,0.43252079258386983,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
perforated_plate_s0,0.02806294341673856,0.02806294341673856,0.9719370565832616,0.0,0.025558362154191435,-1.592466980333183,2.220446049250313e-16,9.0,42.0,1.4487634414994923,19.856717298048114,7.711932915675661,0.9816399268226667,12.948402559467922,0.0867752270727153,3.0,0.23278414109377957,0.23278414109377957,0.20722577893958813,0.20722577893958813,0.46556828218755913,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
perforated_plate_s1,0.029824215416321007,0.029824215416321007,0.9701757845836787,0.0,0.022538042994267236,-1.6470837969717835,0.0,10.0,48.0,1.5993064207204504,25.238577052945296,8.577314883434806,0.9789708123551936,14.252225922968142,0.07285957179310837,4.0,0.18922981461674598,0.18922981461674598,0.07207686431410576,0.07207686431410576,0.26492174046344447,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
perforated_plate_s2,0.034692178403309855,0.034692178403309855,0.9653078215966899,0.0,0.03057716422224401,-1.514602794258498,0.0,10.0,48.0,1.6266192326801208,27.279541417547023,10.439382979151123,0.9647333814409894,15.318516316285825,0.08107726586742016,4.0,0.18668032660778078,0.18668032660778078,0.06276299908164638,0.06276299908164638,0.2613524572508931,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
perforated_plate_s3,0.041647469581775065,0.041647469581775065,0.9583525304182248,0.0,0.03048357256939268,-1.5159341365367704,0.0,10.0,48.0,1.5514988873178934,21.54487871820662,8.36662700904818,0.9653175724203282,13.6537908275154,0.09099027529750443,4.0,0.18626144662962613,0.18626144662962613,0.15577787406023338,0.18626144662962613,0.4346100421357943,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
plate_notch_s0,0.02042998103697491,0.02042998103697491,0.9795700189630252,0.0,0.04597201880998961,-1.3375064242725903,0.0,10.0,48.0,1.5143639397116,13.751201839288804,6.402669173086638,0.982517738206456,10.987894431889444,0.09746902277048795,2.0,0.4211798986125375,0.4211798986125375,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
plate_notch_s1,0.032813914531992484,0.032813914531992484,0.9671860854680074,0.0,0.06344149918706228,-1.1976265627494773,2.220446049250313e-16,10.0,48.0,1.4286860919558093,11.8107361698225,5.3338280520960195,0.9660661161565951,10.20489481733315,0.1238289512348869,2.0,0.41036190454609117,0.41036190454609117,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
plate_notch_s2,0.022994814350256954,0.022994814350256954,0.977005185649743,0.0,0.05160218145477328,-1.2873319384164903,0.0,10.0,48.0,1.5081846056866186,13.322058909349755,6.436949610688243,0.9785326255381943,10.909017196768007,0.10455488184600598,2.0,0.4340654799418891,0.4340654799418891,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
